year,month,source_location,DETECTED CRIME,negative,neutral,positive,total,neg_ratio
2019,4,Aberdeen City,138,,,,,
2019,4,Aberdeenshire,77,,,,,
2019,4,Angus,42,,,,,
2019,4,Argyll and Bute,65,,,,,
2019,4,Clackmannanshire,37,,,,,
2019,4,Dumfries and Galloway,107,,,,,
2019,4,Dundee City,112,,,,,
2019,4,East Ayrshire,94,,,,,
2019,4,East Dunbartonshire,30,,,,,
2019,4,East Lothian,39,,,,,
2019,4,East Renfrewshire,23,,,,,
2019,4,City of Edinburgh,269,,,,,
2019,4,Falkirk,156,,,,,
2019,4,Fife,219,,,,,
2019,4,Glasgow City,512,,,,,
2019,4,Highland,115,,,,,
2019,4,Inverclyde,48,,,,,
2019,4,Midlothian,53,,,,,
2019,4,Moray,44,,,,,
2019,4,North Ayrshire,98,,,,,
2019,4,North Lanarkshire,324,,,,,
2019,4,Orkney Islands,8,,,,,
2019,4,Perth and Kinross,45,,,,,
2019,4,Renfrewshire,103,,,,,
2019,4,Scottish Borders,66,,,,,
2019,4,Shetland Islands,5,,,,,
2019,4,South Ayrshire,83,,,,,
2019,4,South Lanarkshire,248,,,,,
2019,4,Stirling,70,,,,,
2019,4,West Dunbartonshire,83,,,,,
2019,4,West Lothian,78,,,,,
2019,4,Na h-Eileanan Siar,7,,,,,
2019,5,Aberdeen City,102,,,,,
2019,5,Aberdeenshire,63,,,,,
2019,5,Angus,40,,,,,
2019,5,Argyll and Bute,60,,,,,
2019,5,Clackmannanshire,43,,,,,
2019,5,Dumfries and Galloway,146,,,,,
2019,5,Dundee City,106,,,,,
2019,5,East Ayrshire,74,,,,,
2019,5,East Dunbartonshire,47,,,,,
2019,5,East Lothian,35,,,,,
2019,5,East Renfrewshire,21,,,,,
2019,5,City of Edinburgh,285,,,,,
2019,5,Falkirk,100,,,,,
2019,5,Fife,285,,,,,
2019,5,Glasgow City,578,,,,,
2019,5,Highland,127,,,,,
2019,5,Inverclyde,48,,,,,
2019,5,Midlothian,78,,,,,
2019,5,Moray,38,,,,,
2019,5,North Ayrshire,106,,,,,
2019,5,North Lanarkshire,305,,,,,
2019,5,Orkney Islands,8,,,,,
2019,5,Perth and Kinross,48,,,,,
2019,5,Renfrewshire,116,,,,,
2019,5,Scottish Borders,74,,,,,
2019,5,Shetland Islands,10,,,,,
2019,5,South Ayrshire,67,,,,,
2019,5,South Lanarkshire,208,,,,,
2019,5,Stirling,70,,,,,
2019,5,West Dunbartonshire,106,,,,,
2019,5,West Lothian,97,,,,,
2019,5,Na h-Eileanan Siar,4,,,,,
2019,6,Aberdeen City,121,,,,,
2019,6,Aberdeenshire,78,,,,,
2019,6,Angus,47,,,,,
2019,6,Argyll and Bute,57,,,,,
2019,6,Clackmannanshire,43,,,,,
2019,6,Dumfries and Galloway,111,,,,,
2019,6,Dundee City,91,,,,,
2019,6,East Ayrshire,63,,,,,
2019,6,East Dunbartonshire,41,,,,,
2019,6,East Lothian,59,,,,,
2019,6,East Renfrewshire,18,,,,,
2019,6,City of Edinburgh,267,,,,,
2019,6,Falkirk,137,,,,,
2019,6,Fife,249,,,,,
2019,6,Glasgow City,585,,,,,
2019,6,Highland,105,,,,,
2019,6,Inverclyde,44,,,,,
2019,6,Midlothian,60,,,,,
2019,6,Moray,35,,,,,
2019,6,North Ayrshire,130,,,,,
2019,6,North Lanarkshire,345,,,,,
2019,6,Orkney Islands,10,,,,,
2019,6,Perth and Kinross,47,,,,,
2019,6,Renfrewshire,103,,,,,
2019,6,Scottish Borders,81,,,,,
2019,6,Shetland Islands,5,,,,,
2019,6,South Ayrshire,65,,,,,
2019,6,South Lanarkshire,231,,,,,
2019,6,Stirling,84,,,,,
2019,6,West Dunbartonshire,96,,,,,
2019,6,West Lothian,95,,,,,
2019,6,Na h-Eileanan Siar,5,,,,,
2019,7,Aberdeen City,116,,,,,
2019,7,Aberdeenshire,99,,,,,
2019,7,Angus,54,,,,,
2019,7,Argyll and Bute,70,,,,,
2019,7,Clackmannanshire,36,,,,,
2019,7,Dumfries and Galloway,153,,,,,
2019,7,Dundee City,99,,,,,
2019,7,East Ayrshire,83,,,,,
2019,7,East Dunbartonshire,38,,,,,
2019,7,East Lothian,50,,,,,
2019,7,East Renfrewshire,18,,,,,
2019,7,City of Edinburgh,300,,,,,
2019,7,Falkirk,119,,,,,
2019,7,Fife,216,,,,,
2019,7,Glasgow City,614,,,,,
2019,7,Highland,114,,,,,
2019,7,Inverclyde,57,,,,,
2019,7,Midlothian,66,,,,,
2019,7,Moray,32,,,,,
2019,7,North Ayrshire,136,,,,,
2019,7,North Lanarkshire,315,,,,,
2019,7,Orkney Islands,11,,,,,
2019,7,Perth and Kinross,52,,,,,
2019,7,Renfrewshire,111,,,,,
2019,7,Scottish Borders,74,,,,,
2019,7,Shetland Islands,8,,,,,
2019,7,South Ayrshire,66,,,,,
2019,7,South Lanarkshire,245,,,,,
2019,7,Stirling,70,,,,,
2019,7,West Dunbartonshire,76,,,,,
2019,7,West Lothian,76,,,,,
2019,7,Na h-Eileanan Siar,11,,,,,
2019,8,Aberdeen City,105,,,,,
2019,8,Aberdeenshire,81,,,,,
2019,8,Angus,45,,,,,
2019,8,Argyll and Bute,64,,,,,
2019,8,Clackmannanshire,53,,,,,
2019,8,Dumfries and Galloway,136,,,,,
2019,8,Dundee City,110,,,,,
2019,8,East Ayrshire,74,,,,,
2019,8,East Dunbartonshire,30,,,,,
2019,8,East Lothian,52,,,,,
2019,8,East Renfrewshire,13,,,,,
2019,8,City of Edinburgh,312,,,,,
2019,8,Falkirk,141,,,,,
2019,8,Fife,210,,,,,
2019,8,Glasgow City,558,,,,,
2019,8,Highland,92,,,,,
2019,8,Inverclyde,55,,,,,
2019,8,Midlothian,62,,,,,
2019,8,Moray,44,,,,,
2019,8,North Ayrshire,104,,,,,
2019,8,North Lanarkshire,294,,,,,
2019,8,Orkney Islands,6,,,,,
2019,8,Perth and Kinross,41,,,,,
2019,8,Renfrewshire,117,,,,,
2019,8,Scottish Borders,69,,,,,
2019,8,Shetland Islands,3,,,,,
2019,8,South Ayrshire,74,,,,,
2019,8,South Lanarkshire,211,,,,,
2019,8,Stirling,60,,,,,
2019,8,West Dunbartonshire,73,,,,,
2019,8,West Lothian,109,,,,,
2019,8,Na h-Eileanan Siar,2,,,,,
2019,9,Aberdeen City,115,,,,,
2019,9,Aberdeenshire,71,,,,,
2019,9,Angus,47,,,,,
2019,9,Argyll and Bute,73,,,,,
2019,9,Clackmannanshire,45,,,,,
2019,9,Dumfries and Galloway,144,,,,,
2019,9,Dundee City,92,,,,,
2019,9,East Ayrshire,50,,,,,
2019,9,East Dunbartonshire,45,,,,,
2019,9,East Lothian,54,,,,,
2019,9,East Renfrewshire,41,,,,,
2019,9,City of Edinburgh,244,,,,,
2019,9,Falkirk,146,,,,,
2019,9,Fife,226,,,,,
2019,9,Glasgow City,552,,,,,
2019,9,Highland,93,,,,,
2019,9,Inverclyde,51,,,,,
2019,9,Midlothian,66,,,,,
2019,9,Moray,39,,,,,
2019,9,North Ayrshire,131,,,,,
2019,9,North Lanarkshire,282,,,,,
2019,9,Orkney Islands,5,,,,,
2019,9,Perth and Kinross,44,,,,,
2019,9,Renfrewshire,93,,,,,
2019,9,Scottish Borders,79,,,,,
2019,9,Shetland Islands,2,,,,,
2019,9,South Ayrshire,85,,,,,
2019,9,South Lanarkshire,235,,,,,
2019,9,Stirling,57,,,,,
2019,9,West Dunbartonshire,83,,,,,
2019,9,West Lothian,64,,,,,
2019,9,Na h-Eileanan Siar,10,,,,,
2019,10,Aberdeen City,127,,,,,
2019,10,Aberdeenshire,81,,,,,
2019,10,Angus,48,,,,,
2019,10,Argyll and Bute,53,1.0,0.0,0.0,1.0,1.0
2019,10,Clackmannanshire,42,,,,,
2019,10,Dumfries and Galloway,115,,,,,
2019,10,Dundee City,103,,,,,
2019,10,East Ayrshire,78,,,,,
2019,10,East Dunbartonshire,33,,,,,
2019,10,East Lothian,46,,,,,
2019,10,East Renfrewshire,16,,,,,
2019,10,City of Edinburgh,276,1.0,0.0,0.0,1.0,1.0
2019,10,Falkirk,162,,,,,
2019,10,Fife,183,,,,,
2019,10,Glasgow City,553,,,,,
2019,10,Highland,92,,,,,
2019,10,Inverclyde,34,,,,,
2019,10,Midlothian,59,,,,,
2019,10,Moray,35,,,,,
2019,10,North Ayrshire,99,,,,,
2019,10,North Lanarkshire,299,,,,,
2019,10,Orkney Islands,4,,,,,
2019,10,Perth and Kinross,51,,,,,
2019,10,Renfrewshire,103,,,,,
2019,10,Scottish Borders,72,,,,,
2019,10,Shetland Islands,6,,,,,
2019,10,South Ayrshire,80,,,,,
2019,10,South Lanarkshire,227,,,,,
2019,10,Stirling,61,,,,,
2019,10,West Dunbartonshire,73,,,,,
2019,10,West Lothian,97,,,,,
2019,10,Na h-Eileanan Siar,9,,,,,
2019,11,Aberdeen City,108,,,,,
2019,11,Aberdeenshire,75,,,,,
2019,11,Angus,32,,,,,
2019,11,Argyll and Bute,52,,,,,
2019,11,Clackmannanshire,33,,,,,
2019,11,Dumfries and Galloway,141,,,,,
2019,11,Dundee City,124,,,,,
2019,11,East Ayrshire,57,,,,,
2019,11,East Dunbartonshire,41,,,,,
2019,11,East Lothian,57,,,,,
2019,11,East Renfrewshire,13,,,,,
2019,11,City of Edinburgh,251,,,,,
2019,11,Falkirk,120,,,,,
2019,11,Fife,236,,,,,
2019,11,Glasgow City,555,,,,,
2019,11,Highland,102,,,,,
2019,11,Inverclyde,33,,,,,
2019,11,Midlothian,46,,,,,
2019,11,Moray,36,,,,,
2019,11,North Ayrshire,81,,,,,
2019,11,North Lanarkshire,269,,,,,
2019,11,Orkney Islands,3,,,,,
2019,11,Perth and Kinross,53,,,,,
2019,11,Renfrewshire,101,,,,,
2019,11,Scottish Borders,61,,,,,
2019,11,Shetland Islands,8,,,,,
2019,11,South Ayrshire,68,,,,,
2019,11,South Lanarkshire,203,,,,,
2019,11,Stirling,51,,,,,
2019,11,West Dunbartonshire,66,,,,,
2019,11,West Lothian,76,,,,,
2019,11,Na h-Eileanan Siar,11,,,,,
2019,12,Aberdeen City,115,,,,,
2019,12,Aberdeenshire,69,,,,,
2019,12,Angus,46,,,,,
2019,12,Argyll and Bute,50,,,,,
2019,12,Clackmannanshire,34,,,,,
2019,12,Dumfries and Galloway,122,,,,,
2019,12,Dundee City,111,,,,,
2019,12,East Ayrshire,76,,,,,
2019,12,East Dunbartonshire,36,,,,,
2019,12,East Lothian,39,,,,,
2019,12,East Renfrewshire,18,,,,,
2019,12,City of Edinburgh,279,,,,,
2019,12,Falkirk,149,,,,,
2019,12,Fife,202,,,,,
2019,12,Glasgow City,581,,,,,
2019,12,Highland,86,,,,,
2019,12,Inverclyde,51,,,,,
2019,12,Midlothian,62,,,,,
2019,12,Moray,44,,,,,
2019,12,North Ayrshire,94,,,,,
2019,12,North Lanarkshire,315,,,,,
2019,12,Orkney Islands,8,,,,,
2019,12,Perth and Kinross,45,,,,,
2019,12,Renfrewshire,107,,,,,
2019,12,Scottish Borders,59,,,,,
2019,12,Shetland Islands,2,,,,,
2019,12,South Ayrshire,73,,,,,
2019,12,South Lanarkshire,205,,,,,
2019,12,Stirling,57,,,,,
2019,12,West Dunbartonshire,86,,,,,
2019,12,West Lothian,82,,,,,
2019,12,Na h-Eileanan Siar,11,,,,,
2020,1,Aberdeen City,122,,,,,
2020,1,Aberdeenshire,68,,,,,
2020,1,Angus,30,,,,,
2020,1,Argyll and Bute,54,,,,,
2020,1,Clackmannanshire,30,,,,,
2020,1,Dumfries and Galloway,136,,,,,
2020,1,Dundee City,100,,,,,
2020,1,East Ayrshire,66,,,,,
2020,1,East Dunbartonshire,38,,,,,
2020,1,East Lothian,55,,,,,
2020,1,East Renfrewshire,24,,,,,
2020,1,City of Edinburgh,256,,,,,
2020,1,Falkirk,103,,,,,
2020,1,Fife,248,,,,,
2020,1,Glasgow City,491,,,,,
2020,1,Highland,95,,,,,
2020,1,Inverclyde,50,,,,,
2020,1,Midlothian,55,,,,,
2020,1,Moray,37,,,,,
2020,1,North Ayrshire,91,,,,,
2020,1,North Lanarkshire,262,,,,,
2020,1,Orkney Islands,4,,,,,
2020,1,Perth and Kinross,55,,,,,
2020,1,Renfrewshire,99,,,,,
2020,1,Scottish Borders,56,,,,,
2020,1,Shetland Islands,5,,,,,
2020,1,South Ayrshire,68,,,,,
2020,1,South Lanarkshire,212,,,,,
2020,1,Stirling,38,,,,,
2020,1,West Dunbartonshire,64,,,,,
2020,1,West Lothian,71,,,,,
2020,1,Na h-Eileanan Siar,5,,,,,
2020,2,Aberdeen City,111,,,,,
2020,2,Aberdeenshire,62,,,,,
2020,2,Angus,30,0.0,1.0,0.0,1.0,0.0
2020,2,Argyll and Bute,67,,,,,
2020,2,Clackmannanshire,41,,,,,
2020,2,Dumfries and Galloway,128,,,,,
2020,2,Dundee City,100,,,,,
2020,2,East Ayrshire,65,,,,,
2020,2,East Dunbartonshire,33,,,,,
2020,2,East Lothian,32,,,,,
2020,2,East Renfrewshire,18,,,,,
2020,2,City of Edinburgh,240,2.0,1.0,0.0,3.0,0.6666666666666666
2020,2,Falkirk,99,,,,,
2020,2,Fife,156,1.0,0.0,0.0,1.0,1.0
2020,2,Glasgow City,477,0.0,5.0,5.0,10.0,0.0
2020,2,Highland,98,,,,,
2020,2,Inverclyde,48,,,,,
2020,2,Midlothian,42,,,,,
2020,2,Moray,34,0.0,0.0,1.0,1.0,0.0
2020,2,North Ayrshire,92,,,,,
2020,2,North Lanarkshire,259,0.0,2.0,1.0,3.0,0.0
2020,2,Orkney Islands,5,,,,,
2020,2,Perth and Kinross,41,,,,,
2020,2,Renfrewshire,109,3.0,2.0,0.0,5.0,0.6
2020,2,Scottish Borders,54,,,,,
2020,2,Shetland Islands,5,,,,,
2020,2,South Ayrshire,44,,,,,
2020,2,South Lanarkshire,195,,,,,
2020,2,Stirling,36,0.0,0.0,1.0,1.0,0.0
2020,2,West Dunbartonshire,59,1.0,1.0,0.0,2.0,0.5
2020,2,West Lothian,68,,,,,
2020,2,Na h-Eileanan Siar,5,,,,,
2020,3,Aberdeen City,129,,,,,
2020,3,Aberdeenshire,42,,,,,
2020,3,Angus,31,,,,,
2020,3,Argyll and Bute,58,,,,,
2020,3,Clackmannanshire,29,,,,,
2020,3,Dumfries and Galloway,143,,,,,
2020,3,Dundee City,75,,,,,
2020,3,East Ayrshire,93,,,,,
2020,3,East Dunbartonshire,38,,,,,
2020,3,East Lothian,41,,,,,
2020,3,East Renfrewshire,21,,,,,
2020,3,City of Edinburgh,256,,,,,
2020,3,Falkirk,138,,,,,
2020,3,Fife,191,,,,,
2020,3,Glasgow City,538,,,,,
2020,3,Highland,82,,,,,
2020,3,Inverclyde,44,,,,,
2020,3,Midlothian,49,,,,,
2020,3,Moray,24,,,,,
2020,3,North Ayrshire,95,,,,,
2020,3,North Lanarkshire,288,,,,,
2020,3,Orkney Islands,2,,,,,
2020,3,Perth and Kinross,44,,,,,
2020,3,Renfrewshire,99,,,,,
2020,3,Scottish Borders,58,,,,,
2020,3,Shetland Islands,3,,,,,
2020,3,South Ayrshire,78,,,,,
2020,3,South Lanarkshire,234,,,,,
2020,3,Stirling,50,,,,,
2020,3,West Dunbartonshire,75,,,,,
2020,3,West Lothian,98,,,,,
2020,3,Na h-Eileanan Siar,8,,,,,
2020,4,Aberdeen City,127,,,,,
2020,4,Aberdeenshire,72,,,,,
2020,4,Angus,35,,,,,
2020,4,Argyll and Bute,56,,,,,
2020,4,Clackmannanshire,41,,,,,
2020,4,Dumfries and Galloway,113,,,,,
2020,4,Dundee City,102,,,,,
2020,4,East Ayrshire,72,,,,,
2020,4,East Dunbartonshire,30,,,,,
2020,4,East Lothian,44,,,,,
2020,4,East Renfrewshire,37,,,,,
2020,4,City of Edinburgh,246,,,,,
2020,4,Falkirk,137,,,,,
2020,4,Fife,192,,,,,
2020,4,Glasgow City,628,,,,,
2020,4,Highland,126,,,,,
2020,4,Inverclyde,48,,,,,
2020,4,Midlothian,58,,,,,
2020,4,Moray,26,,,,,
2020,4,North Ayrshire,95,,,,,
2020,4,North Lanarkshire,268,,,,,
2020,4,Orkney Islands,5,,,,,
2020,4,Perth and Kinross,47,,,,,
2020,4,Renfrewshire,114,,,,,
2020,4,Scottish Borders,53,,,,,
2020,4,Shetland Islands,1,,,,,
2020,4,South Ayrshire,73,,,,,
2020,4,South Lanarkshire,260,,,,,
2020,4,Stirling,41,,,,,
2020,4,West Dunbartonshire,67,,,,,
2020,4,West Lothian,98,,,,,
2020,4,Na h-Eileanan Siar,13,,,,,
2020,5,Aberdeen City,165,,,,,
2020,5,Aberdeenshire,65,,,,,
2020,5,Angus,65,,,,,
2020,5,Argyll and Bute,43,,,,,
2020,5,Clackmannanshire,58,,,,,
2020,5,Dumfries and Galloway,149,,,,,
2020,5,Dundee City,140,,,,,
2020,5,East Ayrshire,95,,,,,
2020,5,East Dunbartonshire,37,,,,,
2020,5,East Lothian,55,,,,,
2020,5,East Renfrewshire,32,,,,,
2020,5,City of Edinburgh,311,,,,,
2020,5,Falkirk,161,,,,,
2020,5,Fife,267,,,,,
2020,5,Glasgow City,665,,,,,
2020,5,Highland,122,,,,,
2020,5,Inverclyde,47,,,,,
2020,5,Midlothian,71,,,,,
2020,5,Moray,47,,,,,
2020,5,North Ayrshire,104,,,,,
2020,5,North Lanarkshire,393,,,,,
2020,5,Orkney Islands,1,,,,,
2020,5,Perth and Kinross,48,,,,,
2020,5,Renfrewshire,112,,,,,
2020,5,Scottish Borders,61,,,,,
2020,5,Shetland Islands,6,,,,,
2020,5,South Ayrshire,64,,,,,
2020,5,South Lanarkshire,314,,,,,
2020,5,Stirling,72,,,,,
2020,5,West Dunbartonshire,90,,,,,
2020,5,West Lothian,99,,,,,
2020,5,Na h-Eileanan Siar,9,,,,,
2020,6,Aberdeen City,150,,,,,
2020,6,Aberdeenshire,73,,,,,
2020,6,Angus,49,,,,,
2020,6,Argyll and Bute,58,,,,,
2020,6,Clackmannanshire,45,,,,,
2020,6,Dumfries and Galloway,142,,,,,
2020,6,Dundee City,131,,,,,
2020,6,East Ayrshire,89,,,,,
2020,6,East Dunbartonshire,46,,,,,
2020,6,East Lothian,76,,,,,
2020,6,East Renfrewshire,33,,,,,
2020,6,City of Edinburgh,300,,,,,
2020,6,Falkirk,145,,,,,
2020,6,Fife,242,,,,,
2020,6,Glasgow City,773,,,,,
2020,6,Highland,109,,,,,
2020,6,Inverclyde,79,,,,,
2020,6,Midlothian,56,,,,,
2020,6,Moray,34,,,,,
2020,6,North Ayrshire,115,,,,,
2020,6,North Lanarkshire,405,,,,,
2020,6,Orkney Islands,9,,,,,
2020,6,Perth and Kinross,66,,,,,
2020,6,Renfrewshire,134,,,,,
2020,6,Scottish Borders,81,,,,,
2020,6,Shetland Islands,8,,,,,
2020,6,South Ayrshire,92,,,,,
2020,6,South Lanarkshire,279,,,,,
2020,6,Stirling,76,,,,,
2020,6,West Dunbartonshire,102,,,,,
2020,6,West Lothian,113,,,,,
2020,6,Na h-Eileanan Siar,11,,,,,
2020,7,Aberdeen City,145,,,,,
2020,7,Aberdeenshire,84,,,,,
2020,7,Angus,44,,,,,
2020,7,Argyll and Bute,58,,,,,
2020,7,Clackmannanshire,44,,,,,
2020,7,Dumfries and Galloway,159,,,,,
2020,7,Dundee City,103,,,,,
2020,7,East Ayrshire,92,,,,,
2020,7,East Dunbartonshire,37,,,,,
2020,7,East Lothian,71,,,,,
2020,7,East Renfrewshire,34,,,,,
2020,7,City of Edinburgh,309,,,,,
2020,7,Falkirk,133,,,,,
2020,7,Fife,280,,,,,
2020,7,Glasgow City,664,,,,,
2020,7,Highland,122,,,,,
2020,7,Inverclyde,49,,,,,
2020,7,Midlothian,51,,,,,
2020,7,Moray,57,,,,,
2020,7,North Ayrshire,111,,,,,
2020,7,North Lanarkshire,374,,,,,
2020,7,Orkney Islands,3,,,,,
2020,7,Perth and Kinross,70,,,,,
2020,7,Renfrewshire,127,,,,,
2020,7,Scottish Borders,69,,,,,
2020,7,Shetland Islands,7,,,,,
2020,7,South Ayrshire,75,,,,,
2020,7,South Lanarkshire,258,,,,,
2020,7,Stirling,68,,,,,
2020,7,West Dunbartonshire,80,,,,,
2020,7,West Lothian,117,,,,,
2020,7,Na h-Eileanan Siar,8,,,,,
2020,8,Aberdeen City,135,,,,,
2020,8,Aberdeenshire,91,,,,,
2020,8,Angus,59,,,,,
2020,8,Argyll and Bute,65,,,,,
2020,8,Clackmannanshire,45,,,,,
2020,8,Dumfries and Galloway,154,,,,,
2020,8,Dundee City,130,,,,,
2020,8,East Ayrshire,89,,,,,
2020,8,East Dunbartonshire,57,,,,,
2020,8,East Lothian,44,,,,,
2020,8,East Renfrewshire,41,,,,,
2020,8,City of Edinburgh,276,,,,,
2020,8,Falkirk,131,,,,,
2020,8,Fife,290,,,,,
2020,8,Glasgow City,695,,,,,
2020,8,Highland,136,,,,,
2020,8,Inverclyde,52,,,,,
2020,8,Midlothian,59,,,,,
2020,8,Moray,42,,,,,
2020,8,North Ayrshire,147,,,,,
2020,8,North Lanarkshire,392,,,,,
2020,8,Orkney Islands,9,,,,,
2020,8,Perth and Kinross,76,,,,,
2020,8,Renfrewshire,141,,,,,
2020,8,Scottish Borders,77,,,,,
2020,8,Shetland Islands,3,,,,,
2020,8,South Ayrshire,86,,,,,
2020,8,South Lanarkshire,283,,,,,
2020,8,Stirling,69,,,,,
2020,8,West Dunbartonshire,80,,,,,
2020,8,West Lothian,81,,,,,
2020,8,Na h-Eileanan Siar,3,,,,,
2020,9,Aberdeen City,111,,,,,
2020,9,Aberdeenshire,47,,,,,
2020,9,Angus,46,,,,,
2020,9,Argyll and Bute,42,,,,,
2020,9,Clackmannanshire,41,,,,,
2020,9,Dumfries and Galloway,143,,,,,
2020,9,Dundee City,109,,,,,
2020,9,East Ayrshire,84,,,,,
2020,9,East Dunbartonshire,33,,,,,
2020,9,East Lothian,70,,,,,
2020,9,East Renfrewshire,29,,,,,
2020,9,City of Edinburgh,263,,,,,
2020,9,Falkirk,131,,,,,
2020,9,Fife,278,,,,,
2020,9,Glasgow City,622,,,,,
2020,9,Highland,85,,,,,
2020,9,Inverclyde,44,,,,,
2020,9,Midlothian,57,,,,,
2020,9,Moray,30,,,,,
2020,9,North Ayrshire,123,,,,,
2020,9,North Lanarkshire,246,,,,,
2020,9,Orkney Islands,1,,,,,
2020,9,Perth and Kinross,60,,,,,
2020,9,Renfrewshire,106,,,,,
2020,9,Scottish Borders,66,,,,,
